CURRENCY_CODE,CURRENCY_DESCRIPTION,CURRENCY_CODE_ISO_NNN,CURRENCY_ISO_MINOR_UNIT,IS_CURRENT_FLAG,IS_DELETED_FLAG,VALID_FROM_DATETIME,VALID_TO_DATETIME
LTL,Lithuanian Litas,440,2,N,Y,1993-06-25,2014-12-31
LUF,Luxembourg Franc,442,2,N,Y,1944-09-04,2002-02-28
MOP,Pataca,446,2,Y,N,1901-01-01,9999-12-31
MGF,Malagasy Franc,450,0,N,Y,1963-07-01,2004-12-31
MWK,Kwacha,454,2,N,Y,1971-02-15,2016-01-31
MWK,Malawi Kwacha,454,2,Y,N,2016-02-01,9999-12-31
MYR,Malaysian Ringgit,458,2,Y,N,1963-09-16,9999-12-31
MVQ,Maldive Rupee,462,2,N,Y,1947-01-01,1981-07-01
MVR,Rufiyaa,462,2,Y,N,1981-07-01,9999-12-31
MLF,Mali Franc,466,2,N,Y,1962-07-02,1984-08-31
MTP,Maltese Pound,470,2,N,Y,1914-08-13,1968-06-07
MTL,Maltese Lira,470,2,N,Y,1968-06-07,2008-01-31
MRO,Ouguiya,478,2,N,Y,1973-06-29,2018-06-30
MUR,Mauritius Rupee,480,2,Y,N,1934-04-01,9999-12-31
MXP,Mexican Peso,484,2,N,Y,1822-01-01,1992-12-31
MXN,Mexican Peso,484,2,Y,N,1993-01-01,9999-12-31
MNT,Tugrik,496,2,Y,N,1915-03-01,9999-12-31
MDL,Moldovan Leu,498,2,Y,N,1993-11-29,9999-12-31
MAD,Moroccan Dirham,504,2,Y,N,1959-10-17,9999-12-31
MZE,Mozambique Escudo,508,2,N,Y,1975-06-25,1980-06-16
MZM,Mozambique Metical,508,2,N,Y,1980-06-16,2006-12-31
OMR,Rial Omani,512,3,Y,N,1972-11-11,9999-12-31
NAD,Namibia Dollar,516,2,Y,N,1993-01-01,9999-12-31
NPR,Nepalese Rupee,524,2,Y,N,1933-01-01,9999-12-31
NLG,Netherlands Guilder,528,2,N,Y,1813-01-01,2002-02-28
ANG,Netherlands Antillean Guilder,532,2,N,Y,1940-05-10,2025-06-30
XCG,Caribbean Guilder,532,2,Y,N,2025-03-31,9999-12-31
AWG,Aruban Florin,533,2,Y,N,1986-01-01,9999-12-31
VUV,Vatu,548,0,Y,N,1981-01-01,9999-12-31
NZD,New Zealand Dollar,554,2,Y,N,1967-07-10,9999-12-31
NIC,Cordoba,558,2,N,Y,1988-02-15,1991-04-30
NIO,Cordoba Oro,558,2,Y,N,1991-04-30,9999-12-31
NGN,Naira,566,2,Y,N,1973-01-01,9999-12-31
NOK,Norwegian Krone,578,2,Y,N,1905-06-07,9999-12-31
PKR,Pakistan Rupee,586,2,Y,N,1948-04-01,9999-12-31
PAB,Balboa,590,2,Y,N,1903-11-04,9999-12-31
PGK,Kina,598,2,Y,N,1975-09-16,9999-12-31
PYG,Guarani,600,0,Y,N,1943-11-01,9999-12-31
PEH,Sol,604,2,N,Y,1863-02-14,1985-02-01
PES,Sol,604,2,N,Y,1863-02-14,1985-02-01
PEI,Inti,604,2,N,Y,1985-02-01,1991-07-01
PEN,Nuevo Sol,604,2,N,Y,1991-07-01,2015-11-30
PEN,Sol,604,2,Y,N,2015-12-01,9999-12-31
PHP,Philippine Peso,608,2,Y,N,1946-07-04,9999-12-31
PLZ,Zloty,616,2,N,Y,1950-10-28,1994-12-31
PTE,Portuguese Escudo,620,0,N,Y,1911-05-22,2002-02-28
GWE,Guinea Escudo,624,2,N,Y,1914-01-01,1976-02-28
GWP,Guinea-Bissau Peso,624,2,N,Y,1976-02-28,1997-03-31
TPE,Timor Escudo,626,0,N,Y,1959-01-02,2002-05-20
QAR,Qatari Rial,634,2,Y,N,1973-05-19,9999-12-31
ROK,Leu A/52,642,2,N,Y,1947-08-15,1952-01-27
ROL,Old Leu,642,0,N,Y,1952-01-28,2006-12-31
RUB,Russian Ruble,643,2,Y,N,1999-01-01,9999-12-31
RWF,Rwanda Franc,646,0,Y,N,1964-05-19,9999-12-31
SHP,Saint Helena Pound,654,2,Y,N,1917-02-15,9999-12-31
STD,Dobra,678,2,N,Y,1977-09-08,2018-06-30
SAR,Saudi Riyal,682,2,Y,N,1952-10-22,9999-12-31
SCR,Seychelles Rupee,690,2,Y,N,1903-11-01,9999-12-31
SLL,Leone,694,2,N,Y,1964-08-04,2023-12-31
SGD,Singapore Dollar,702,2,Y,N,1967-06-12,9999-12-31
SKK,Slovak Koruna,703,2,N,Y,1993-02-08,2009-01-16
VNC,Old Dong,704,2,N,Y,1978-05-03,1985-09-13
VND,Dong,704,0,Y,N,1985-09-14,9999-12-31
SIT,Tolar,705,2,N,Y,1991-10-08,2007-01-14
SOS,Somali Shilling,706,2,Y,N,1960-07-01,9999-12-31
ZAR,Rand,710,2,Y,N,1961-02-14,9999-12-31
ZWC,Rhodesian Dollar,716,2,N,Y,1970-02-17,1980-04-17
RHD,Rhodesian Dollar,716,2,N,Y,1970-02-17,1980-04-18
ZWD,Zimbabwe Dollar (old),716,2,N,Y,1980-04-18,2006-07-31
YDD,Yemeni Dinar,720,3,N,Y,1965-04-01,1996-06-11
ESP,Spanish Peseta,724,0,N,Y,1800-01-01,2002-02-28
SSP,South Sudanese Pound,728,2,Y,N,2011-07-18,9999-12-31
SDP,Sudanese Pound,736,2,N,Y,1957-04-08,1998-06-01
SDD,Sudanese Dinar,736,2,N,Y,1992-06-08,2007-06-30
SRG,Surinam Guilder,740,2,N,Y,1940-05-10,2003-12-31
SZL,Lilangeni,748,2,Y,N,1974-09-06,9999-12-31
SEK,Swedish Krona,752,2,Y,N,1873-05-27,9999-12-31
CHF,Swiss Franc,756,2,Y,N,1799-03-17,9999-12-31
SYP,Syrian Pound,760,2,Y,N,1948-01-01,9999-12-31
TJR,Tajik Ruble,762,0,N,Y,1995-05-10,2000-10-25
THB,Baht,764,2,Y,N,1928-04-15,9999-12-31
TOP,Pa’anga,776,2,Y,N,1966-02-14,9999-12-31
TTD,Trinidad and Tobago Dollar,780,2,Y,N,1964-01-01,9999-12-31
AED,UAE Dirham,784,2,Y,N,1973-05-19,9999-12-31
TND,Tunisian Dinar,788,3,Y,N,1958-11-01,9999-12-31
TRL,Old Turkish Lira,792,0,N,Y,1922-11-01,2005-12-31
TMM,Turkmenistan Manat,795,2,N,Y,1993-11-01,2009-01-01
UGS,Uganda Shilling,800,2,N,Y,1966-08-15,1987-05-15
UGX,Uganda Shilling,800,0,Y,N,1987-05-15,9999-12-31
UGW,Old Shilling,800,2,N,Y,1989-01-01,1989-12-31
UAK,Karbovanet,804,2,N,Y,1992-11-13,1996-09-01
MKD,Denar,807,2,Y,N,1993-05-20,9999-12-31
SUR,Rouble,810,2,N,Y,1961-01-01,1992-10-01
RUR,Russian Ruble,810,2,N,Y,1991-12-25,1998-12-31
EGP,Egyptian Pound,818,2,Y,N,1885-11-14,9999-12-31
GBP,Pound Sterling,826,2,Y,N,1694-07-27,9999-12-31
TZS,Tanzanian Shilling,834,2,Y,N,1966-06-14,9999-12-31
USD,US Dollar,840,2,Y,N,1792-01-01,9999-12-31
UYN,Old Uruguay Peso,858,2,N,Y,1896-01-01,1975-06-30
UYP,Uruguayan Peso,858,2,N,Y,1975-07-01,1993-03-01
UYU,Peso Uruguayo,858,2,Y,N,1993-03-01,9999-12-31
UZS,Uzbekistan Sum,860,2,Y,N,1994-07-01,9999-12-31
VEB,Bolivar,862,2,N,Y,1871-05-11,2008-06-30
WST,Tala,882,2,Y,N,1967-07-10,9999-12-31
YER,Yemeni Rial,886,2,Y,N,1990-05-22,9999-12-31
YUD,New Yugoslavian Dinar,890,2,N,Y,1966-01-01,1989-12-31
YUN,Yugoslavian Dinar,890,2,N,Y,1990-01-01,1992-07-24
YUM,New Dinar,891,2,N,Y,1994-01-24,2002-05-15
CSD,Serbian Dinar,891,2,N,Y,2002-05-15,2006-10-25
ZMK,Zambian Kwacha,894,2,N,Y,1968-01-16,2013-06-30
TWD,New Taiwan Dollar,901,2,Y,N,1949-06-15,9999-12-31
ZWG,Zimbabwe Gold,924,2,Y,N,2024-06-25,9999-12-31
SLE,Leone,925,2,Y,N,2022-07-01,9999-12-31
VED,Bolívar Soberano,926,2,Y,N,2021-10-01,9999-12-31
UYW,Unidad Previsional,927,4,Y,N,2018-08-29,9999-12-31
VES,Bolívar Soberano,928,2,Y,N,2018-08-20,9999-12-31
MRU,Ouguiya,929,2,Y,N,2018-01-01,9999-12-31
STN,Dobra,930,2,Y,N,2018-01-01,9999-12-31
CUC,Peso Convertible,931,2,N,Y,1994-01-01,2021-06-30
ZWL,Zimbabwe Dollar,932,2,N,Y,2009-02-02,2024-08-31
BYN,Belarusian Ruble,933,2,Y,N,2016-07-01,9999-12-31
TMT,Turkmenistan New Manat,934,2,Y,N,2009-01-01,9999-12-31
ZWR,Zimbabwe Dollar,935,2,N,Y,2008-08-01,2009-02-01
GHS,Ghana Cedi,936,2,Y,N,2007-07-03,9999-12-31
