"MERCHANT_CATEGORY_CODE","MERCHANT_CATEGORY_DESCRIPTION","IS_CURRENT_FLAG","IS_DELETED_FLAG","VALID_FROM_DATETIME","VALID_TO_DATETIME"
"3106","Braathens S.a.f.e. (Norway) Braathens","Y","N","1900-01-01","9999-12-31"
"3108","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3110","Wings Airways Wings Air","Y","N","1900-01-01","9999-12-31"
"3111","British Midland Brmidlandair","Y","N","1900-01-01","9999-12-31"
"3112","Windward Island Windwrdisair","Y","N","1900-01-01","9999-12-31"
"3115","Tower Air Towerair","Y","N","1900-01-01","9999-12-31"
"3117","Viasa Viasa","Y","N","1900-01-01","9999-12-31"
"3118","Valley Airlines Valley Air","Y","N","1900-01-01","9999-12-31"
"3125","Tan Tan Air","Y","N","1900-01-01","9999-12-31"
"3126","Talair Talair","Y","N","1900-01-01","9999-12-31"
"3127","Taca International Tacaintl Air","Y","N","1900-01-01","9999-12-31"
"3129","Surinam Airways Surinam Air","Y","N","1900-01-01","9999-12-31"
"3130","Sunworld International Sunworld Air","Y","N","1900-01-01","9999-12-31"
"3131","Vlm Airlines Vlm Air","Y","N","1900-01-01","9999-12-31"
"3132","Frontier Airlines Frontier Air","Y","N","1900-01-01","9999-12-31"
"3133","Sunbelt Airlines Sunbelt Air","Y","N","1900-01-01","9999-12-31"
"3135","Sudan Airways Sudan Air","Y","N","1900-01-01","9999-12-31"
"3136","Qatar Airways Qatar Air","Y","N","1900-01-01","9999-12-31"
"3137","Singleton Singletonair","Y","N","1900-01-01","9999-12-31"
"3138","Simmons Airlines Simmons Air","Y","N","1900-01-01","9999-12-31"
"3141","Airline Carrier - Network-Specific Assignment","Y","N","1900-01-01","9999-12-31"
"3143","Scenic Airlines Scenic Air","Y","N","1900-01-01","9999-12-31"
"3144","Virgin Atlantic Virginatlair","Y","N","1900-01-01","9999-12-31"
"3145","San Juan Airlines San Juan Air","Y","N","1900-01-01","9999-12-31"
"3146","Luxair Luxair","Y","N","1900-01-01","9999-12-31"
"3148","Air Littoral Sa Airlittoral","Y","N","1900-01-01","9999-12-31"
"3151","Air Zaire Air Zaire","Y","N","1900-01-01","9999-12-31"
"3154","Princeville Princvlleair","Y","N","1900-01-01","9999-12-31"
"3156","Go Fly Ltd Gofly","Y","N","1900-01-01","9999-12-31"
"3159","Pba Pba Airline","Y","N","1900-01-01","9999-12-31"
"3161","All Nippon Airways Ana Air","Y","N","1900-01-01","9999-12-31"
"3164","Norontair Norontair","Y","N","1900-01-01","9999-12-31"
"3165","New York Helicopter Ny Heli","Y","N","1900-01-01","9999-12-31"
"3167","Aerocontinente Aerocontinen","Y","N","1900-01-01","9999-12-31"
"3168","Hainan Airlines Hainanair","Y","N","1900-01-01","9999-12-31"
"3169","Riyadh Air Riyadhair","Y","N","1900-01-01","9999-12-31"
"3170","Mount Cook Mt Cook Air","Y","N","1900-01-01","9999-12-31"
"3171","Canadian Airlines International Canadian Air","Y","N","1900-01-01","9999-12-31"
"3172","Nationair Nationair","Y","N","1900-01-01","9999-12-31"
