SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
V2,332,David Jones,REFERENCE.CORE.BRAND,DJNAU,David Jones
V2,333,David Jones,REFERENCE.CORE.BRAND,DJNAU,David Jones
V2,401,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,404,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,405,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,504,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,506,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,507,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,508,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,510,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,512,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,513,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,514,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,515,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,521,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,570,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,600,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,601,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,611,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V2,500,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V2,526,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V2,527,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V2,530,LFS Own Brands NZ,REFERENCE.CORE.BRAND,LFSNZ,LFS Own Brands NZ
V8,000,#NA,REFERENCE.CORE.BRAND,DQMapping,Source value cannot be mapped	N.A.
V8,100,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V8,200,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V8,400,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
V8,450,LFS Own Brands AU,REFERENCE.CORE.BRAND,LFSAU,LFS Own Brands AU
