CHANGE_CONTROL,SOURCE_SYSTEM,SOURCE_CODE,SOURCE_DESCRIPTION,TARGET_SYSTEM,TARGET_CODE,TARGET_DESCRIPTION
,V8,352,Old Krona,REFERENCE.CORE.CURRENCY,ISJ,Old Krona
,V8,008,Old Lek,REFERENCE.CORE.CURRENCY,ALK,Old Lek
,V8,858,Old Uruguay Peso,REFERENCE.CORE.CURRENCY,UYN,Old Uruguay Peso
,V8,478,Ouguiya,REFERENCE.CORE.CURRENCY,MRO,Ouguiya
,V8,929,Ouguiya,REFERENCE.CORE.CURRENCY,MRU,Ouguiya
,V8,776,Pa’anga,REFERENCE.CORE.CURRENCY,TOP,Pa’anga
,V8,586,Pakistan Rupee,REFERENCE.CORE.CURRENCY,PKR,Pakistan Rupee
,V8,446,Pataca,REFERENCE.CORE.CURRENCY,MOP,Pataca
,V8,418,Pathet Lao Kip,REFERENCE.CORE.CURRENCY,LAJ,Pathet Lao Kip
,V8,608,Philippine Peso,REFERENCE.CORE.CURRENCY,PHP,Philippine Peso
,V8,376,Pound,REFERENCE.CORE.CURRENCY,ILP,Pound
,V8,826,Pound Sterling,REFERENCE.CORE.CURRENCY,GBP,Pound Sterling
,V8,072,Pula,REFERENCE.CORE.CURRENCY,BWP,Pula
,V8,634,Qatari Rial,REFERENCE.CORE.CURRENCY,QAR,Qatari Rial
,V8,320,Quetzal,REFERENCE.CORE.CURRENCY,GTQ,Quetzal
,V8,710,Rand,REFERENCE.CORE.CURRENCY,ZAR,Rand
,V8,716,Rhodesian Dollar,REFERENCE.CORE.CURRENCY,RHD,Rhodesian Dollar
,V8,512,Rial Omani,REFERENCE.CORE.CURRENCY,OMR,Rial Omani
,V8,116,Riel,REFERENCE.CORE.CURRENCY,KHR,Riel
,V8,360,Rupiah,REFERENCE.CORE.CURRENCY,IDR,Rupiah
,V8,643,Russian Ruble,REFERENCE.CORE.CURRENCY,RUB,Russian Ruble
,V8,646,Rwanda Franc,REFERENCE.CORE.CURRENCY,RWF,Rwanda Franc
,V8,654,Saint Helena Pound,REFERENCE.CORE.CURRENCY,SHP,Saint Helena Pound
,V8,682,Saudi Riyal,REFERENCE.CORE.CURRENCY,SAR,Saudi Riyal
,V8,040,Schilling,REFERENCE.CORE.CURRENCY,ATS,Schilling
,V8,941,Serbian Dinar,REFERENCE.CORE.CURRENCY,RSD,Serbian Dinar
,V8,690,Seychelles Rupee,REFERENCE.CORE.CURRENCY,SCR,Seychelles Rupee
,V8,702,Singapore Dollar,REFERENCE.CORE.CURRENCY,SGD,Singapore Dollar
,V8,703,Slovak Koruna,REFERENCE.CORE.CURRENCY,SKK,Slovak Koruna
,V8,604,Sol,REFERENCE.CORE.CURRENCY,PEH,Sol
